Ref	Part	Footprint	Datasheet	DNP
BZ1	CMI-9605-1280T	altimeter:CUI_CMI-9605-1280T	https://www.sameskydevices.com/product/resource/cmi-9605-1280t.pdf	
C1	10uF	Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	~	
C2	0.1uF	Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	~	
C3	1uF	Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	~	
C5	10uF	Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	~	
C7	100nF	Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	~	
C8	100nF	Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	~	
C9	2.2uF	Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	~	
C10	100nF	Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	~	
C11	100nF	Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	~	
C12	100nF	Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	~	
C13	2.2uF	Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	~	
C14	4.7uF	Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	~	
C15	1uF	Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	~	
C16	1uF	Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	~	
C17	100nF	Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	~	
C18	100nF	Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	~	
C19	0.1uF	Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	~	
C20	100nF	Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	~	
C21	47nF	Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	~	
C22	47nF	Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	~	
C23	47nF	Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	~	
C24	47nF	Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	~	
